"Invoice payment is currently unavailable, please use another payment method","Fakturabetaling er for øyeblikket ikke tilgjengelig. Vennligst velg en annen betalingsmåte."
"QuickCheckout", "Hurtigkasse"
"Calculating total sum...", "Regner ut totalsum..."
"Loading available shipping methods...", "Laster tilgjengelige fraktmåter..."
"Loading available payment methods...", "Laster tilgjengelige betalingsmåter..."
"Click here to login", "Klikk her for å logge inn"
"Click here to hide login", "Klikk her for å skjule innloggingsskjemaet"
"Billing Address", "Fakturaadresse"
"Shipping Adress", "Leveranseadresse"
"Choose Shipping Method", "Velg leveringsmåte"
"Choose Payment Method", "Velg betalingsmåte"

"Expand loginform", "Vis logginnfeltet direkte"
"Show login fields without toggle functionality.", "Vis logginnfeltet uten vis/skjul-effekten."
"Separate Shipping address ", "Separat leveringsadresse"
"Enable if you need separate shipping address.", "Aktiver separat leveringsadresse."
"Autofill customer address ", "Fyll inn kundeadresse automatisk "
"Populate address fields if customer has an address and chooses to add a new address.", "Fyll inn adressefelt automatisk fra kundens konto (krever at kunden er innlogget og har en forvalgt adresse lagret)."