"Show Columns","Visa kolumner"
"Column Options", "Kolumninställningar"
"Truncate Long Texts After X Characters", "Förkorta texter efter X tecken"
"In-Grid Image Options", "Bildinställningar"
"Show Image Url", "Visa bildurl"
"(When product image is hidden for that row)", "(När produktbilden är dold i en av raderna)"
"Show Image By Default", "Visa bild som standard"
"If your grid has a large page size by default this could get slow.", "Om ditt rutnät visar ett stort antal produkter, så kan denna sida laddas långsammare."
"Image Width", "Bildens bredd"
"Image Height", "Bildens höjd"
"Default Grid State", "Förvalda rutnätsinställningar"
"Sort Column Direction", "Sorteringsriktning"
"Descending", "Fallande"
"Ascending", "Stigande"
"Sort Column", "Sortera kolumn"
"Initial Page Number", "Initial sidnummer"
"The selected column must be also selected above if it's not already there", "Den valda kolumnen måste även vara vald under inställningen: Visa kolumner"
"Type (simple, bundle, etc)", "Produkttyp (simpel, bundlad, etc)"
"Manage Products*", "Hantera produkter"
"Manage Products (Enhanced)", "Hantera produkter (utökad)"