"Page Manager", "Sidhanteraren"
"Manage pages", "Hantera sidor"
"Add Page", "Lägg till sida"
"Enter the page information below", "Ange informationen om ditt sida nedan"
"Name", "Namn"
"Status", "Status"
"Position", "Position"
"Save", "Spara"
"Delete", "Ta bort"
"Active", "Aktiv"
"Not Active", "Inaktiv"
"Your page has been saved successfully", "Din sida sparades"
"Your page has been updated successfully.", "Din sida uppdaterades"
"Your pages has been updated successfully.", "Dina sidor uppdaterades"
"Enable", "Aktivera"
"Disable", "Inaktivera"
"Update position", "Uppdatera position"
"Please select one or more items.", "Vänligen välj ett eller flera alternativ."
"Are you sure?", "Är du säker?"
"Edit page: ", "Redigera sidan: "
"Rows and blocks belonging to this page", "Rader och block som tillhör denna sida"
"Image", "Bild"
"There are no saved pages.", "Det finns inga sparade sidor."
"There are no saved rows or blocks for this page.", "Det finns inga sparade rader eller block för denna sida."
"There are no saved blocks for this row.", "Det finns inga sparade block för denna rad."
"Add image in page: ", "Lägg till en bild på sidan: "
"Title", "Titel"
"Alt-text", "Alt-text"
"Link", "Länk"
"Link target", "Öppna länk i"
"Same window", "Samma fönster"
"New window", "Nytt fönster"
"Enter the image information below", "Ange information om din bild nedan"
"Your image has been saved successfully.", "Din bild sparades"
"Edit image: ", "Redigera bilden: "
"Your images has been updated successfully.", "Dina bilder har uppdaterats"
"Here is a list of all saved pages", "Här listas alla sparade sidor"
"Your image has been deleted successfully.", "Din bild togs bort"
"Your page has been deleted successfully.", "Ditt sida togs bort"
"Select All", "Välj alla"
"Unselect All", "Avmarkera alla"
"Existing image", "Existerande bild"
"Choose new image", "Välj en ny bild"
"Edit the image information below", "Redigera informationen om din bild nedan"
"Page information", "Sidans information"
"ID", "ID"
"There are no items that can me updated.", "Det finns inga poster att uppdatera."
"Image text", "Bildtext"
"Row ","Rad "
"Your item has been updated successfully.","Ditt block har uppdaterats."
"Copy","Kopiera"
"Edit","Redigera"
"H1","H1"
"Image","Bild"
"Toplist","Topplista"
"Slideshow","Bildspel"
"Add ","Lägg till "
"Send","Skicka"
"Edit row","Redigera rad"
"Heading","Rubrik"
"Your item has been saved successfully.","Ditt block har sparats."
"Or go to Slideshowmanager and ","Eller gå till Bildspelshanteraren och "
"create a new slideshow","skapa ett nytt bildspel"
"Your rows and items has been updated successfully.","Dina rader och block har uppdaterats."
"Views count","Antal visningar"
"Ordered qty","Antal beställningar"
"Random","Slumpa"
"New products","Nya produkter"
"Oldest added products","Äldsta produkterna"
"Best reviews","Best recensioner"
"Most reviews","Flest recensioner"
"In pricerule","I prisregel"
"Suggested related","Föreslagna relaterade"
"Category id","Kategori id"
"Total number of products","Toalt antal produkter"
"Choose toplist style","Välj topplist stil"
"Sort by","Sortera på"
"Horizontal with text and images","Horisontell med text och bilder"
"Vertical with text and images","Vertikal med text och bilder"
"Vertical, only product name","Vertikal, endast produktnamn"
"Edit the toplist information below","Redigera informationen om din topplista nedan"
"Enter the row information below","Ange information om din rad nedan"
"Edit the row information below","Redigera informationen om din rad nedan"
"Rowtype","Radtyp"
"Add row to page: ","Lägg till en rad på sidan: "
"One block","Ett block"
"Two blocks","Två block"
"Three blocks","Tre block"
"Show/Hide items","Visa/Dölj block"
"Edit Heading: ","Redigera rubrik: "
"Add Heading to page: ","Lägg till rubrik till sidan: "
"Enter the Heading information below","Ange informationen om din rubrik nedan"
"Edit the Heading information below","Redigera informationen om din rubrik nedan"
"Heading type","Rubrik typ"
"Heading","Rubrik"
"H1 (Only one per page and preferably at the top of the page)","H1 (Endast en per sida och gärna på toppen av sidan)"
"Edit the slideshow information below","Redigera informationen om ditt bildspel nedan"
"Edit toplist: ","Redigera topplistan: "
"Edit row: ","Redigera rad: "
"The page H1, top heading (Click change to edit the text)","Sidans H1, topp rubrik (Klicka på Ändra för att redigera texten)"
"You must choose a slideshow.","Du måste välja ett bildspel."
"Copy heading: ","Kopiera rubrik: "
"Copy heading","Kopiera rubrik"
"Type: ","Typ: "
"Choose row to copy to","Välj rad att kopiera till"
"Copy toplist","Kopiera topplista"
"Copy toplist: ","Kopiera topplista: "
"Copy slideshow: ","Kopiera bildspel: "
"Copy slideshow","Kopiera bildspel"
"Copy image: ","Kopiera bild: "
"Copy image","Kopiera bild"
"Use this code to include this collection of rows and blocks within a page or static block","Använd denna kod för att inkludera dina rader och block inuti en sida eller ett statiskt block"
"Classnames (separate by space)", "Klassnamn (separera med mellanslag)"
"Predefined classnames", "Fördefinierade klassnamn"