"Method name", "Metodnamn"
"Free shipping promotions", "Gratis frakt i prisregler"
"Only display free shipping", "Visa bara gratis frakt"
"Free shipping display text", "Text för gratis frakt"
"Free shipping with minimum order amount", "Gratis frakt för minsta belopp"
"Minimum order amount for free shipping", "Minsta belopp för gratis frakt"
"Use zipcode to/from range", "Använd postkodsintervall"
"Exclude virtual from cart price", "Exkludera virtuella produkter"
"Use Special UK Postcode Filtering", "Använd speciell postkodsfilter för UK"
"Displayed error message", "Text vid felmeddelande"
"Calculate handling fee", "Beräkning av hanteringsavgift"
"Handling fee", "Hanteringsavgift"
"Ship to applicable countries", "Leverera till följande länder"
"Ship to specific countries", "Specifika länder"
"Show method if not applicable", "Visa metod om ej valbar"